States,Population Density,Pollution (AQI),Literacy rate,Avg Temp in C,Health Facilities(Hospital Beds),Cleanliness,Tourism,Median Age
Maharashtra,365,100,82.91,26,68998,,,
Gujarat,308,65,79.31,39,41129,,,
Delhi,11297,143,86.34,29,20572,,,
Rajasthan,201,113,67.06,30,51844,,,
Madhya Pradesh,236,59,70.63,33,38140,,,
Tamil Nadu,555,21,80.33,32,72616,,,
Uttar Pradesh,828,189,69.72,25.7,58310,,,
Andhra Pradesh,303,281,67.4,34,60799,,,
Telangana,312,54,66.5,26.7,17358,,,
West Bengal,1029,231,77.08,24.8,51163,,,
J & K,98,76,68.74,24.2,11342,,,
Karnataka,319,54,75.6,24.6,56333,,,
Kerala,859,59,93.91,25,39511,,,
Bihar,1102,130,63.82,27.5,17796,,,
Punjab,550,48,76.68,23.5,13527,,,
Haryana,573,195,76.64,24.4,13841,,,
Odisha,269,76,73.45,27.4,16947,,,
Jharkhand,414,68,67.63,23.7,7404,,,
Chandigarh,9252,156,86.43,24.1,3756,,,
Uttarakhand,189,140,79.63,23.6,6660,,,
Himachal Pradesh,123,94,83.78,21.7,8706,,,
Assam,397,88,73.18,24.6,19115,,,
Chhattisgarh,189,132,71.04,26.8,14354,,,
Andaman Nicobar,46,30,86.27,26.4,1246,,,
Meghalaya,132,75,75.48,17.1,4585,,,
Puducherry,2598,29,86.55,28.3,4462,,,
Goa,394,75,87.4,27.5,2666,,,
Manipur,122,59,79.85,25.5,2562,,,
Tripura,350,22,87.75,24.6,4895,,,
Arunachal Pradesh,17,68,66.95,27.2,2320,,,
Mizoram,52,25,91.58,20.6,2312,,,
Sikkim,86,22.7,90.76,19.1,1145,,,
Nagaland,119,24.7,79.55,17.8,1944,,,
Lakshadweep,2013,25,92.75,29.5,250,,,
DN Haveli & DD,970,29,77.24,26.7,866,,,